,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
65,2020-03-06,66,PM2.5,Glendora,06-037-0016,AirNow,,58,,,66,,34.0522,-118.2437,Los_Angeles,2020-03-23
66,2020-03-07,42,Ozone,Pasadena,06-037-2005,AirNow,,42,,,37,,34.0522,-118.2437,Los_Angeles,2020-03-23
67,2020-03-08,42,Ozone,Pasadena,06-037-2005,AirNow,,42,,,27,,34.0522,-118.2437,Los_Angeles,2020-03-23
68,2020-03-09,38,Ozone,Pasadena,06-037-2005,AirNow,,38,,,36,,34.0522,-118.2437,Los_Angeles,2020-03-23
69,2020-03-10,28,Ozone,Reseda,06-037-1201,AirNow,,28,,,23,,34.0522,-118.2437,Los_Angeles,2020-03-23
70,2020-03-11,41,Ozone,Reseda,06-037-1201,AirNow,,41,,,25,,34.0522,-118.2437,Los_Angeles,2020-03-23
71,2020-03-12,43,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,31,,,43,,34.0522,-118.2437,Los_Angeles,2020-03-23
72,2020-03-13,37,Ozone,Santa Clarita,06-037-6012,AirNow,,37,,,35,,34.0522,-118.2437,Los_Angeles,2020-03-23
73,2020-03-14,41,Ozone,Reseda,06-037-1201,AirNow,,41,,,30,,34.0522,-118.2437,Los_Angeles,2020-03-23
74,2020-03-15,43,Ozone,Pasadena,06-037-2005,AirNow,,43,,,30,,34.0522,-118.2437,Los_Angeles,2020-03-23
75,2020-03-16,38,Ozone,Lancaster-Division Street,06-037-9033,AirNow,,38,,,37,,34.0522,-118.2437,Los_Angeles,2020-03-23
76,2020-03-17,43,Ozone,Pasadena,06-037-2005,AirNow,,43,,,34,,34.0522,-118.2437,Los_Angeles,2020-03-23
77,2020-03-18,46,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,46,,34.0522,-118.2437,Los_Angeles,2020-03-23
78,2020-03-19,44,Ozone,Reseda,06-037-1201,AirNow,,44,,,29,,34.0522,-118.2437,Los_Angeles,2020-03-23
79,2020-03-20,43,Ozone,Pasadena,06-037-2005,AirNow,,43,,,25,,34.0522,-118.2437,Los_Angeles,2020-03-23
80,2020-03-21,47,Ozone,Reseda,06-037-1201,AirNow,,47,,,32,,34.0522,-118.2437,Los_Angeles,2020-03-23
81,2020-03-22,43,Ozone,Pasadena,06-037-2005,AirNow,,43,,,33,,34.0522,-118.2437,Los_Angeles,2020-03-23
82,2020-03-23,45,Ozone,Pasadena,06-037-2005,AirNow,,45,,,22,,34.0522,-118.2437,Los_Angeles,2020-03-23
83,2020-03-24,43,Ozone,Pasadena,06-037-2005,AirNow,,43,,,27,,34.0522,-118.2437,Los_Angeles,2020-03-23
84,2020-03-25,44,Ozone,Reseda,06-037-1201,AirNow,,44,,,24,,34.0522,-118.2437,Los_Angeles,2020-03-23
85,2020-03-26,45,Ozone,Pasadena,06-037-2005,AirNow,,45,,,25,,34.0522,-118.2437,Los_Angeles,2020-03-23
86,2020-03-27,47,Ozone,Reseda,06-037-1201,AirNow,,47,,,36,,34.0522,-118.2437,Los_Angeles,2020-03-23
87,2020-03-28,54,Ozone,Pasadena,06-037-2005,AirNow,,54,,,42,,34.0522,-118.2437,Los_Angeles,2020-03-23
88,2020-03-29,54,Ozone,Pasadena,06-037-2005,AirNow,,54,,,43,,34.0522,-118.2437,Los_Angeles,2020-03-23
89,2020-03-30,54,Ozone,Pasadena,06-037-2005,AirNow,,54,,,41,,34.0522,-118.2437,Los_Angeles,2020-03-23
90,2020-03-31,74,Ozone,Pasadena,06-037-2005,AirNow,,74,,,52,,34.0522,-118.2437,Los_Angeles,2020-03-23
