,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
108,2019-01-08,75,PM2.5,Fort Lee Near Road,34-003-0010,AQS,14,29,4,.,75,67,40.7128,-74.006,New_York,2020-03-23
109,2019-01-09,38,PM2.5,PS 314,36-047-0052,AQS,9,27,1,8,38,33,40.7128,-74.006,New_York,2020-03-23
110,2019-01-10,42,PM2.5,Intermediate School 143,36-061-0115,AQS,6,33,1,.,42,19,40.7128,-74.006,New_York,2020-03-23
111,2019-01-11,45,PM2.5,IS 74,36-005-0112,AQS,6,38,3,.,45,45,40.7128,-74.006,New_York,2020-03-23
112,2019-01-12,43,PM2.5,HOLTSVILLE,36-103-0009,AQS,6,35,3,6,43,33,40.7128,-74.006,New_York,2020-03-23
113,2019-01-13,42,PM2.5,PS 19,36-061-0128,AQS,6,35,1,.,42,23,40.7128,-74.006,New_York,2020-03-23
114,2019-01-14,52,NO2,Elizabeth Lab,34-039-0004,AQS,8,33,4,.,42,52,40.7128,-74.006,New_York,2020-03-23
115,2019-01-15,63,NO2,Newark Firehouse,34-013-0003,AQS,13,30,4,29,59,63,40.7128,-74.006,New_York,2020-03-23
116,2019-01-16,67,PM2.5,Jersey City Firehouse,34-017-1003,AQS,10,34,7,.,67,45,40.7128,-74.006,New_York,2020-03-23
117,2019-01-17,44,PM2.5,PS 19,36-061-0128,AQS,8,34,4,.,44,42,40.7128,-74.006,New_York,2020-03-23
118,2019-01-18,94,NO2,Fort Lee Near Road,34-003-0010,AQS,10,31,3,19,71,94,40.7128,-74.006,New_York,2020-03-23
119,2019-01-19,56,PM2.5,Jersey City Firehouse,34-017-1003,AQS,7,34,6,.,56,34,40.7128,-74.006,New_York,2020-03-23
120,2019-01-20,37,PM2.5,PS 19,36-061-0128,AQS,7,34,9,.,37,36,40.7128,-74.006,New_York,2020-03-23
121,2019-01-21,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,37,4,12,50,26,40.7128,-74.006,New_York,2020-03-23
122,2019-01-22,54,NO2,Fort Lee Near Road,34-003-0010,AQS,8,36,6,.,52,54,40.7128,-74.006,New_York,2020-03-23
123,2019-01-23,54,NO2,Newark Firehouse,34-013-0003,AQS,11,37,6,.,49,54,40.7128,-74.006,New_York,2020-03-23
124,2019-01-24,49,NO2,Newark Firehouse,34-013-0003,AQS,14,38,3,6,33,49,40.7128,-74.006,New_York,2020-03-23
125,2019-01-25,46,PM2.5,Intermediate School 143,36-061-0115,AQS,5,36,1,.,46,42,40.7128,-74.006,New_York,2020-03-23
126,2019-01-26,48,PM2.5,HOLTSVILLE,36-103-0009,AQS,8,35,3,.,48,41,40.7128,-74.006,New_York,2020-03-23
127,2019-01-27,51,PM2.5,Flemington,34-019-0001,AQS,16,41,3,15,51,50,40.7128,-74.006,New_York,2020-03-23
128,2019-01-28,54,PM2.5,PS 19,36-061-0128,AQS,8,36,1,.,54,42,40.7128,-74.006,New_York,2020-03-23
129,2019-01-29,69,NO2,Fort Lee Near Road,34-003-0010,AQS,17,35,6,.,60,69,40.7128,-74.006,New_York,2020-03-23
130,2019-01-30,54,PM2.5,Intermediate School 143,36-061-0115,AQS,9,37,7,13,54,32,40.7128,-74.006,New_York,2020-03-23
131,2019-01-31,49,PM2.5,Intermediate School 143,36-061-0115,AQS,10,33,6,.,49,45,40.7128,-74.006,New_York,2020-03-23
132,2019-02-01,53,NO2,Fort Lee Near Road,34-003-0010,AQS,11,35,6,.,51,53,40.7128,-74.006,New_York,2020-03-23
133,2019-02-02,80,PM2.5,Flemington,34-019-0001,AQS,10,32,6,31,80,49,40.7128,-74.006,New_York,2020-03-23
134,2019-02-03,92,PM2.5,Fort Lee Near Road,34-003-0010,AQS,13,41,6,.,92,51,40.7128,-74.006,New_York,2020-03-23
135,2019-02-04,83,PM2.5,IS 52,36-005-0110,AQS,16,38,10,.,83,65,40.7128,-74.006,New_York,2020-03-23
136,2019-02-05,81,PM2.5,Jersey City Firehouse,34-017-1003,AQS,18,36,4,.,81,68,40.7128,-74.006,New_York,2020-03-23
