,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
430,2019-11-26,45,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,39,0,4,45,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
431,2019-11-27,52,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,5,35,0,.,52,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
432,2019-11-28,68,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,3,34,0,.,68,18.0,47.6062,-122.3321,Seattle,2020-03-23,744955
433,2019-11-29,84,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,37,0,8,84,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
434,2019-11-30,92,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,9,26,0,.,92,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
435,2019-12-01,75,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,39,0,.,75,35.0,47.6062,-122.3321,Seattle,2020-03-23,744955
436,2019-12-02,76,PM2.5,TACOMA - L STREET,53-053-0029,AQS,13,39,3,16,76,37.0,47.6062,-122.3321,Seattle,2020-03-23,744955
437,2019-12-03,72,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,13,39,1,.,72,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
438,2019-12-04,54,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,7,38,1,.,54,35.0,47.6062,-122.3321,Seattle,2020-03-23,744955
439,2019-12-05,67,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,9,36,3,.,67,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
440,2019-12-06,62,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,9,38,3,.,62,30.0,47.6062,-122.3321,Seattle,2020-03-23,744955
441,2019-12-07,44,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,8,38,1,.,44,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
442,2019-12-08,52,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,7,34,0,.,52,18.0,47.6062,-122.3321,Seattle,2020-03-23,744955
443,2019-12-09,58,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,5,45,0,.,58,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
444,2019-12-10,69,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,6,44,0,.,69,20.0,47.6062,-122.3321,Seattle,2020-03-23,744955
445,2019-12-11,66,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,6,39,1,.,66,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
446,2019-12-12,43,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,43,0,.,39,38.0,47.6062,-122.3321,Seattle,2020-03-23,744955
447,2019-12-13,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,41,0,.,38,37.0,47.6062,-122.3321,Seattle,2020-03-23,744955
448,2019-12-14,60,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,6,37,0,.,60,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
449,2019-12-15,63,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,7,39,0,.,63,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
450,2019-12-16,58,PM2.5,TACOMA - L STREET,53-053-0029,AQS,7,41,0,.,58,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
451,2019-12-17,73,PM2.5,TACOMA - L STREET,53-053-0029,AQS,11,43,4,.,73,42.0,47.6062,-122.3321,Seattle,2020-03-23,744955
452,2019-12-18,66,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AQS,11,43,3,.,66,45.0,47.6062,-122.3321,Seattle,2020-03-23,744955
453,2019-12-19,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,5,41,0,.,39,28.0,47.6062,-122.3321,Seattle,2020-03-23,744955
454,2019-12-20,54,NO2,Seattle-10th & Weller,53-033-0030,AQS,8,40,0,4,34,54.0,47.6062,-122.3321,Seattle,2020-03-23,744955
455,2019-12-21,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,7,41,0,.,32,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
456,2019-12-22,41,Ozone,MT RAINIER - JACKSON VISITIORS CENTER,53-053-0012,AQS,3,41,0,.,40,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
457,2019-12-23,52,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AQS,5,39,0,6,52,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
458,2019-12-24,59,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,42,1,.,59,27.0,47.6062,-122.3321,Seattle,2020-03-23,744955
459,2019-12-25,78,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,41,0,.,78,19.0,47.6062,-122.3321,Seattle,2020-03-23,744955
460,2019-12-26,89,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,15,1,13,89,25.0,47.6062,-122.3321,Seattle,2020-03-23,744955
461,2019-12-27,55,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,14,.,.,55,26.0,47.6062,-122.3321,Seattle,2020-03-23,744955
462,2019-12-28,68,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,9,10,1,.,68,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
463,2019-12-29,64,PM2.5,TACOMA - L STREET,53-053-0029,AQS,8,15,3,7,64,24.0,47.6062,-122.3321,Seattle,2020-03-23,744955
464,2019-12-30,60,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AQS,6,18,0,.,60,23.0,47.6062,-122.3321,Seattle,2020-03-23,744955
465,2019-12-31,35,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,5,28,.,.,35,32.0,47.6062,-122.3321,Seattle,2020-03-23,744955
