,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,state_ordinance,population,lat,lon,city_name
168,2019-03-09,45,PM2.5,Chalmette Vista,22-087-0007,AQS,.,32,36,14,45,17,2020-03-23,391006,29.9511,-90.0715,New_Orleans
169,2019-03-10,55,PM2.5,Chalmette Vista,22-087-0007,AQS,.,32,49,14,55,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
170,2019-03-11,53,PM2.5,Chalmette Vista,22-087-0007,AQS,.,31,19,9,53,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
171,2019-03-12,52,PM2.5,Chalmette Vista,22-087-0007,AQS,3,42,24,13,52,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
172,2019-03-13,51,PM2.5,Chalmette Vista,22-087-0007,AQS,3,29,1,14,51,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
173,2019-03-14,53,PM2.5,Chalmette Vista,22-087-0007,AQS,3,36,34,22,53,11,2020-03-23,391006,29.9511,-90.0715,New_Orleans
174,2019-03-15,39,Ozone,Kenner,22-051-1001,AQS,2,39,1,14,30,4,2020-03-23,391006,29.9511,-90.0715,New_Orleans
175,2019-03-16,40,Ozone,Kenner,22-051-1001,AQS,2,40,19,5,27,7,2020-03-23,391006,29.9511,-90.0715,New_Orleans
176,2019-03-17,44,Ozone,Kenner,22-051-1001,AQS,2,44,1,6,35,5,2020-03-23,391006,29.9511,-90.0715,New_Orleans
177,2019-03-18,55,PM2.5,Chalmette Vista,22-087-0007,AQS,3,45,13,13,55,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
178,2019-03-19,54,Ozone,Meraux,22-087-0004,AQS,9,54,34,14,51,31,2020-03-23,391006,29.9511,-90.0715,New_Orleans
179,2019-03-20,80,Ozone,Meraux,22-087-0004,AQS,9,80,4,24,67,57,2020-03-23,391006,29.9511,-90.0715,New_Orleans
180,2019-03-21,61,Ozone,Meraux,22-087-0004,AQS,5,61,6,15,51,38,2020-03-23,391006,29.9511,-90.0715,New_Orleans
181,2019-03-22,54,Ozone,Kenner,22-051-1001,AQS,3,54,40,16,52,27,2020-03-23,391006,29.9511,-90.0715,New_Orleans
182,2019-03-23,84,Ozone,Kenner,22-051-1001,AQS,7,84,4,21,62,33,2020-03-23,391006,29.9511,-90.0715,New_Orleans
183,2019-03-24,67,Ozone,Madisonville,22-103-0002,AQS,5,67,33,15,51,27,2020-03-23,391006,29.9511,-90.0715,New_Orleans
