,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
52,2020-02-22,56,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0020,AirNow,,34,,,56,,43.615,-116.2023,Boise,2020-03-25
53,2020-02-23,42,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0020,AirNow,,33,,,42,,43.615,-116.2023,Boise,2020-03-25
54,2020-02-24,47,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,36,,,47,,43.615,-116.2023,Boise,2020-03-25
55,2020-02-25,35,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,32,,,35,,43.615,-116.2023,Boise,2020-03-25
56,2020-02-26,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0020,AirNow,,30,,,39,,43.615,-116.2023,Boise,2020-03-25
57,2020-02-27,54,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,32,,,54,,43.615,-116.2023,Boise,2020-03-25
58,2020-02-28,42,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,42,,43.615,-116.2023,Boise,2020-03-25
59,2020-02-29,48,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,36,,,48,,43.615,-116.2023,Boise,2020-03-25
60,2020-03-01,37,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,37,,,26,,43.615,-116.2023,Boise,2020-03-25
61,2020-03-02,33,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,32,,,33,,43.615,-116.2023,Boise,2020-03-25
62,2020-03-03,39,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,.,,,39,,43.615,-116.2023,Boise,2020-03-25
63,2020-03-04,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,35,,,36,,43.615,-116.2023,Boise,2020-03-25
64,2020-03-05,31,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,31,,,30,,43.615,-116.2023,Boise,2020-03-25
65,2020-03-06,47,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,47,,43.615,-116.2023,Boise,2020-03-25
66,2020-03-07,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,36,,43.615,-116.2023,Boise,2020-03-25
67,2020-03-08,44,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,44,,43.615,-116.2023,Boise,2020-03-25
68,2020-03-09,34,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,30,,,34,,43.615,-116.2023,Boise,2020-03-25
69,2020-03-10,33,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,33,,,28,,43.615,-116.2023,Boise,2020-03-25
70,2020-03-11,36,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,36,,43.615,-116.2023,Boise,2020-03-25
71,2020-03-12,39,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,39,,,30,,43.615,-116.2023,Boise,2020-03-25
72,2020-03-13,37,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,37,,,34,,43.615,-116.2023,Boise,2020-03-25
