Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
2/3/2020,54,PM2.5,Portland,53-011-0024,AirNow,,19,,,54,
2/4/2020,54,PM2.5,Portland,53-011-0024,AirNow,,29,,,54,
2/5/2020,35,PM2.5,Portland,41-067-0004,AirNow,,27,,,35,
2/6/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,11,
2/7/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,12,
2/8/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,30,
2/9/2020,51,PM2.5,Portland,41-051-0080,AirNow,,18,,,51,
2/10/2020,51,PM2.5,Portland,41-067-0005,AirNow,,17,,,51,
2/11/2020,64,PM2.5,Portland,41-067-0004,AirNow,,5,,,64,
2/12/2020,61,PM2.5,Portland,41-051-0080,AirNow,,17,,,61,
02/13/2020,53,PM2.5,Portland,41-051-0080,AirNow,,22,,,53,
02/14/2020,27,Ozone,Portland,41-051-0080,AirNow,,27,,,25,
02/15/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,15,
02/16/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,
02/17/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,
02/18/2020,32,PM2.5,Portland,41-051-0080,AirNow,,31,,,32,
02/19/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,19,
02/20/2020,31,PM2.5,Portland,53-011-0022,AirNow,,30,,,31,
02/21/2020,59,PM2.5,Portland,53-011-0024,AirNow,,23,,,59,
02/22/2020,61,PM2.5,Portland,53-011-0022,AirNow,,27,,,61,
02/23/2020,37,Ozone,Portland,41-051-0080,AirNow,,37,,,29,
02/24/2020,34,PM2.5,Portland,53-011-0024,AirNow,,29,,,34,
02/25/2020,47,PM2.5,Portland,53-011-0024,AirNow,,19,,,47,
02/26/2020,43,PM2.5,Portland,41-051-0080,AirNow,,24,,,43,
02/27/2020,56,PM2.5,Portland,41-051-0080,AirNow,,21,,,56,
02/28/2020,45,PM2.5,Portland,53-011-0024,AirNow,,27,,,45,
02/29/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,28,
3/1/2020,47,PM2.5,Portland,53-011-0024,AirNow,,30,,,47,
3/2/2020,31,PM2.5,Portland,53-011-0024,AirNow,,29,,,31,
3/3/2020,29,Ozone,Portland,41-051-0080,AirNow,,29,,,23,
3/4/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,32,
3/5/2020,46,PM2.5,Portland,41-051-0080,AirNow,,29,,,46,
3/6/2020,28,Ozone,Portland,41-051-0080,AirNow,,28,,,18,
3/7/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,23,
3/8/2020,35,PM2.5,Portland,41-051-0080,AirNow,,31,,,35,
3/9/2020,53,PM2.5,Portland,41-051-0080,AirNow,,19,,,53,
3/10/2020,54,PM2.5,Portland,41-051-0080,AirNow,,27,,,54,
3/11/2020,36,Ozone,Portland,41-051-0080,AirNow,,36,,,29,
3/12/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,31,
03/13/2020,35,PM2.5,Portland,53-011-0024,AirNow,,23,,,35,
03/14/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,21,
03/15/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,15,
03/16/2020,54,Ozone,Portland,41-051-0080,AirNow,,54,,,33,
03/17/2020,42,PM2.5,Portland,53-011-0022,AirNow,,29,,,42,
03/18/2020,47,PM2.5,Portland,53-011-0024,AirNow,,35,,,47,
03/19/2020,57,PM2.5,Portland,41-051-0080,AirNow,,29,,,57,
03/20/2020,44,PM2.5,Portland,53-011-0022,AirNow,,37,,,44,
03/21/2020,55,PM2.5,Portland,41-051-0080,AirNow,,37,,,55,
03/22/2020,69,PM2.5,Portland,41-051-0080,AirNow,,38,,,69,
03/23/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,15,
03/24/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,14,
03/25/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,25,
03/26/2020,36,PM2.5,Portland,41-067-0004,AirNow,,32,,,36,
03/27/2020,35,Ozone,Portland,41-051-0080,AirNow,,35,,,32,
03/28/2020,35,Ozone,Portland,41-051-0080,AirNow,,35,,,22,
03/29/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,12,
03/30/2020,35,Ozone,Portland,41-051-0080,AirNow,,35,,,12,
03/31/2020,36,Ozone,Portland,41-051-0080,AirNow,,36,,,12,
4/1/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,18,
4/2/2020,29,Ozone,Portland,41-051-0080,AirNow,,29,,,19,
4/3/2020,27,Ozone,Portland,41-051-0080,AirNow,,27,,,25,
4/4/2020,27,Ozone,Portland,41-051-0080,AirNow,,27,,,25,
4/5/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,
4/6/2020,33,PM2.5,Portland,53-011-0024,AirNow,,30,,,33,
4/7/2020,41,Ozone,Portland,41-051-0080,AirNow,,41,,,26,
4/8/2020,40,Ozone,Portland,41-051-0080,AirNow,,40,,,36,
4/9/2020,44,Ozone,Portland,41-051-0080,AirNow,,44,,,38,
4/10/2020,35,Ozone,Portland,41-051-0080,AirNow,,35,,,23,
1/1/2019,128,PM2.5,Portland,53-011-0024,AQS,10,8,1,.,128,16
1/2/2019,76,PM2.5,Portland,41-051-0080,AQS,13,12,1,.,76,16
1/3/2019,28,PM2.5,Portland,41-067-0004,AQS,7,27,0,7,28,13
1/4/2019,27,PM2.5,Portland,41-067-0111,AQS,7,26,0,.,27,18
1/5/2019,46,PM2.5,Portland,53-011-0024,AQS,7,33,0,.,46,20
1/6/2019,32,Ozone,Portland,41-051-0080,AQS,5,32,0,2,13,15
1/7/2019,35,PM2.5,Portland,53-011-0024,AQS,5,29,1,.,35,26
1/8/2019,29,Ozone,Portland,41-051-0080,AQS,3,29,0,.,10,6
1/9/2019,26,Ozone,Portland,41-051-0080,AQS,5,26,0,6,20,20
